WALL,WALL,WALL,WALL,WALL,WALL,WALL,WALL,WALL,WALL,WALL,WALL,WALL,WALL,WALL,WALL,WALL,WALL,WALL,WALL,WALL,WALL
WALL,,,,,,,,,,,,,,,,,,,,,WALL
WALL,,,,,,,,,,,,,,,,,,,,,WALL
WALL,,,,,,,,,,,,,,,,,,,,,WALL
WALL,,,,WALL,WALL,WALL,WALL,WALL,WALL,,,WALL,WALL,WALL,WALL,WALL,WALL,,,,WALL
WALL,,,,,,WALL,,,WALL,,,WALL,,,WALL,,,,,,WALL
WALL,,,,,,WALL,,,,,,,,,WALL,,,,,,WALL
WALL,,,,,,WALL,,,,,,,,,WALL,,:ENEMY1,,:ENEMY1,,WALL
WALL,,:PLAYER,,,,,,,,,,,,,,,,,,,WALL
WALL,,,,,,,,,,,,,,,,,,,,,WALL
WALL,,,,,,,,,:ENEMY2,,,:ENEMY2,,,,,,:ENEMY2,,,WALL
WALL,,,,,,WALL,,,,,,,,,WALL,,,,,,WALL
WALL,,,,,,WALL,,,,,,,,,WALL,,,,,,WALL
WALL,,,,,,WALL,,,,,,,,,WALL,,:ENEMY1,,:ENEMY1,,WALL
WALL,,,,,,WALL,,,,,,,,,WALL,,,,,,WALL
WALL,,,,,,WALL,,,WALL,,,WALL,,,WALL,,,,,,WALL
WALL,WALL,,,,WALL,WALL,WALL,WALL,WALL,,,WALL,WALL,WALL,WALL,WALL,,,,WALL,WALL
WALL,,,,,,WALL,,,WALL,,,WALL,,,WALL,,,,,,WALL
WALL,,,,,,WALL,,,,,,,,,WALL,,,,,,WALL
WALL,,,,,,WALL,,,,,,,,,WALL,,,,,,WALL
WALL,,,,,,WALL,,,,,,,,,WALL,,,,,,WALL
WALL,,,WALL,,,WALL,,,,,,,,,WALL,,,WALL,,,WALL
WALL,,,WALL,,,WALL,,,,,,,,,WALL,,,WALL,,,WALL
WALL,,,WALL,,,,,,,WALL,WALL,,,,,,,WALL,,,WALL
WALL,,,WALL,,,,,,WALL,WALL,WALL,WALL,,,,,,WALL,,,WALL
WALL,,,WALL,,,,,,WALL,WALL,WALL,WALL,,,,,,WALL,,,WALL
WALL,,,WALL,,,,,,,WALL,WALL,,,,,,,WALL,,,WALL
WALL,,,WALL,,,WALL,,,,,,,,,WALL,,,WALL,,,WALL
WALL,,,WALL,,,WALL,,,,,,,,,WALL,,,WALL,,,WALL
WALL,,,,,,WALL,,,,,,,,,WALL,,,,,,WALL
WALL,,,,,,WALL,,,,,,,,,WALL,,,,,,WALL
WALL,,,,,,WALL,,,,,,,,,WALL,,,,,,WALL
WALL,,,,,,WALL,,,WALL,,,WALL,,,WALL,,,,,,WALL
WALL,WALL,,,,WALL,WALL,WALL,WALL,WALL,,,WALL,WALL,WALL,WALL,WALL,,,,WALL,WALL
WALL,,,,,,WALL,,,WALL,,,WALL,,,WALL,,,,,,WALL
WALL,,,,,,WALL,,,,,,,,,WALL,,,,,,WALL
WALL,,:ENEMY1,,:ENEMY1,,WALL,,,,,,,,,WALL,,:ENEMY1,,:ENEMY1,,WALL
WALL,,,,,,WALL,,,,,,,,,WALL,,,,,,WALL
WALL,,,,,,WALL,,,,,,,,,WALL,,,,,,WALL
WALL,,,:ENEMY2,,,,,,:ENEMY2,,,:ENEMY2,,,,,,:ENEMY2,,,WALL
WALL,,,,,,,,,,,,,,,,,,,,,WALL
WALL,,,,,,,,,,,,,,,,,,,,,WALL
WALL,,:ENEMY1,,:ENEMY1,,WALL,,,,,,,,,WALL,,:ENEMY1,,:ENEMY1,,WALL
WALL,,,,,,WALL,,,,,,,,,WALL,,,,,,WALL
WALL,,,,,,WALL,,,WALL,,,WALL,,,WALL,,,,,,WALL
WALL,,,,WALL,WALL,WALL,WALL,WALL,WALL,,,WALL,WALL,WALL,WALL,WALL,WALL,,,,WALL
WALL,,,,,,,,,,,,,,,,,,,,,WALL
WALL,,,,,,,,,,,,,,,,,,,,,WALL
WALL,,,,,,,,,,,,,,,,,,,,,WALL
WALL,WALL,WALL,WALL,WALL,WALL,WALL,WALL,WALL,WALL,WALL,WALL,WALL,WALL,WALL,WALL,WALL,WALL,WALL,WALL,WALL,WALL
